model,unit_id,horizon,n,mean_residual,std_residual,shapiro_stat,shapiro_p,ljung_box_p
LSTM,705089,48,2040,0.48577698445787615,1.1403150211957425,0.9513624990734081,1.7294327194258624e-25,0.0
LSTM,705089,72,2040,0.2818198975394754,1.1562651372899715,0.9614832328137854,7.255559378497013e-23,0.0
LSTM,705090,1,2040,2.56027632040136,2.6573120703342186,0.9615160725995905,7.412789026946002e-23,0.0
LSTM,705090,2,2040,2.557523053300147,2.653739523049562,0.961583275549783,7.745571812280394e-23,0.0
LSTM,705090,3,2040,2.493780632580028,2.650166022033879,0.961647798135709,8.079566233550735e-23,0.0
LSTM,705090,4,2040,0.6216164121440813,1.5508302374644904,0.992680689892574,1.4518173124845111e-08,0.0
LSTM,705090,12,2040,2.6043851151185877,2.6271797593186403,0.9618883796105218,9.461371608490422e-23,0.0
LSTM,705090,24,2040,1.7805143917308135,2.1786522896509783,0.9792950705141444,1.2611511907425406e-16,0.0
LSTM,705090,48,2040,2.6708241425308525,2.5934038549171605,0.9602217931782588,3.216798607132919e-23,0.0
LSTM,705090,72,2040,2.6051631749845017,2.608134665320735,0.9600481694587574,2.8804501594018006e-23,0.0
LSTM,705091,1,2040,-0.061758264373330506,0.6703761139231341,0.9562666205069291,2.828503951602877e-24,6.365708960738632e-52
LSTM,705091,2,2040,0.009779934789620194,0.7671493525007753,0.9572106738615317,4.975724707565486e-24,6.771850059850753e-139
LSTM,705091,3,2040,-0.004144552174736472,0.8263481751941064,0.9500688558979075,8.576320492277608e-26,5.537127428225887e-245
LSTM,705091,4,2040,0.05698987829918955,0.8488494245674246,0.9444108043074411,4.652539231358705e-27,5.060328721425373e-307
LSTM,705091,12,2040,0.3329733240838144,1.1764138506798976,0.7867490824268522,1.2262410963196996e-45,0.0
LSTM,705091,24,2040,0.262432019850787,0.9684518823954704,0.9180891399755604,6.752114349420806e-32,0.0
LSTM,705091,48,2040,0.33344033839655857,1.1748214321376642,0.7847451751751826,8.742039487016877e-46,0.0
LSTM,705091,72,2040,0.21780788945216759,0.9709955608103453,0.9249621512663933,9.12008519464872e-31,0.0
LSTM,705092,1,2040,0.05402858304042442,0.6642946256269087,0.9587970378345672,1.3133025776592527e-23,1.4237438888747759e-38
LSTM,705092,2,2040,0.05674880532657399,0.7921931721371948,0.9649634489050825,7.621128409784626e-22,8.432419186656357e-148
LSTM,705092,3,2040,0.11634731432970832,0.8477371511695905,0.9675748624792457,4.9983024485714575e-21,3.2755278288419537e-251
LSTM,705092,4,2040,0.03595161578234504,0.8924046149529254,0.9658275157455283,1.4033542527723938e-21,0.0
LSTM,705092,12,2040,0.24600817689708634,0.9881717544285374,0.9552674045091512,1.571186214651298e-24,0.0
LSTM,705092,24,2040,0.357916353263107,0.9776737087123767,0.9276896534800126,2.698892860988164e-30,0.0
LSTM,705092,48,2040,0.3132450127134136,0.9741394217336365,0.9399022058904972,5.346492321664778e-28,0.0
LSTM,705092,72,2040,0.48726052256191477,1.1303870251059465,0.7650600146856292,3.5871759523382847e-47,0.0
LSTM,21334825,1,2040,0.03808299934162813,0.5810599065909299,0.9429249153661905,2.2477885997792067e-27,4.2652387001711e-53
