model,unit_id,horizon,mae,rmse,mape,within_2_patients_pct
Ensemble,1775257343,12,1.05,1.35,5.78,87.26
Ensemble,1775257343,24,1.09,1.38,6.01,86.54
Ensemble,1775257343,48,1.17,1.46,6.41,83.73
Ensemble,1775257343,72,1.2,1.5,6.54,82.13
Ensemble,4452986337,1,0.47,0.69,3.89,96.73
Ensemble,4452986337,2,0.7,0.96,5.79,93.94
Ensemble,4452986337,3,0.8,1.07,6.57,92.32
Ensemble,4452986337,4,0.85,1.14,7.03,91.18
Ensemble,4452986337,12,1.02,1.28,8.3,88.92
Ensemble,4452986337,24,1.04,1.3,8.43,88.87
Ensemble,4452986337,48,1.05,1.33,8.57,87.45
Ensemble,4452986337,72,1.06,1.33,8.65,87.88
LSTM,705089,1,0.5367,0.728,3.5347,98.28
LSTM,705089,2,0.6658,0.8681,4.3864,96.76
LSTM,705089,3,0.7176,0.9419,4.7411,94.95
LSTM,705089,4,0.7369,0.9858,4.9147,94.75
LSTM,705089,12,1.2716,1.4622,8.1353,93.09
LSTM,705089,24,0.9872,1.2192,6.3814,90.59
LSTM,705089,48,1.0216,1.2395,6.5686,90.59
LSTM,705089,72,0.944,1.1901,6.1514,91.13
LSTM,705090,1,3.1636,3.69,10.3353,34.66
LSTM,705090,2,3.1599,3.6855,10.3216,34.66
LSTM,705090,3,3.1209,3.639,10.2009,34.66
LSTM,705090,4,1.3499,1.6708,4.5329,75.98
LSTM,705090,12,3.1712,3.6993,10.3361,34.66
LSTM,705090,24,2.3688,2.8137,7.8348,44.02
LSTM,705090,48,3.2013,3.7228,10.4112,33.92
LSTM,705090,72,3.1681,3.6864,10.3135,33.87
LSTM,705091,1,0.4699,0.6732,2.5752,98.53
LSTM,705091,2,0.5458,0.7672,2.9794,97.35
LSTM,705091,3,0.5986,0.8264,3.2672,96.62
LSTM,705091,4,0.6356,0.8508,3.4603,96.91
LSTM,705091,12,1.019,1.2226,5.4793,95.83
LSTM,705091,24,0.8057,1.0034,4.339,94.85
LSTM,705091,48,1.0168,1.2212,5.4669,95.83
LSTM,705091,72,0.7864,0.9951,4.2474,94.95
LSTM,705092,1,0.4683,0.6665,4.4917,98.58
LSTM,705092,2,0.5764,0.7942,5.5394,97.21
LSTM,705092,3,0.6492,0.8557,6.1964,97.3
LSTM,705092,4,0.6625,0.8931,6.4008,96.81
LSTM,705092,12,0.8213,1.0183,7.7403,94.71
LSTM,705092,24,0.8762,1.0411,8.1671,96.76
LSTM,705092,48,0.8448,1.0233,7.9109,95.05
LSTM,705092,72,1.0832,1.2309,10.0418,96.91
LSTM,21334825,1,0.4092,0.5823,3.5436,99.31
LSTM,21334825,2,0.5328,0.7108,4.6004,98.19
LSTM,21334825,3,0.575,0.7683,4.979,97.99
LSTM,21334825,4,0.6311,0.8167,5.419,97.45
LSTM,21334825,12,0.7286,0.9102,6.2948,96.96
LSTM,21334825,24,0.817,1.0427,7.0576,92.45
LSTM,21334825,48,0.8139,1.0379,7.0613,92.4
LSTM,21334825,72,0.8094,1.0375,7.0092,92.5
LSTM,21336305,1,0.7825,0.9397,6.5276,95.44
LSTM,21336305,2,0.4127,0.6055,3.5369,99.31
LSTM,21336305,3,0.4937,0.6663,4.1806,98.77
LSTM,21336305,4,0.4857,0.7007,4.1712,98.04
LSTM,21336305,12,0.6512,0.8033,5.4466,98.19
LSTM,21336305,24,0.6882,0.834,5.7458,98.04
LSTM,21336305,48,0.7808,0.936,6.5241,95.49
LSTM,21336305,72,0.6447,0.8101,5.4273,97.65
LSTM,97635816,1,0.3329,0.4842,3.364,99.66
LSTM,97635816,2,0.4097,0.5775,4.1648,99.51
LSTM,97635816,3,0.4626,0.6362,4.7317,98.77
LSTM,97635816,4,0.7231,0.8476,7.2391,96.57
LSTM,97635816,12,0.5578,0.738,5.681,98.43
LSTM,97635816,24,0.5916,0.7505,5.9567,98.38
LSTM,97635816,48,0.7277,0.8518,7.2662,96.37
LSTM,97635816,72,0.5962,0.7561,5.9831,98.38
LSTM,1775257343,1,0.5872,0.7771,3.2852,98.14
LSTM,1775257343,2,0.7275,0.9364,4.0253,95.44
LSTM,1775257343,3,0.7172,0.9597,4.0631,94.8
LSTM,1775257343,4,0.7861,1.0207,4.3967,93.68
LSTM,1775257343,12,0.9594,1.2229,5.2645,89.56
LSTM,1775257343,24,0.8951,1.1223,4.9714,92.45
LSTM,1775257343,48,1.0003,1.2317,5.4649,90.49
LSTM,1775257343,72,1.0013,1.239,5.4661,90.05
LSTM,4452986337,1,0.527,0.7323,4.3772,97.99
LSTM,4452986337,2,0.6359,0.8738,5.2945,95.98
LSTM,4452986337,3,0.6953,0.9479,5.806,94.22
LSTM,4452986337,4,0.7462,1.0009,6.2516,93.73
LSTM,4452986337,12,0.9215,1.146,7.5858,92.55
LSTM,4452986337,24,0.947,1.1629,7.7759,92.01
LSTM,4452986337,48,0.9027,1.1426,7.5358,91.86
LSTM,4452986337,72,0.9172,1.1471,7.6093,91.57
LightGBM,705089,1,0.2837,0.4361,1.8877,99.73
LightGBM,705089,2,0.5271,0.7293,3.4705,98.41
LightGBM,705089,3,0.649,0.8776,4.2563,96.24
LightGBM,705089,4,0.7483,0.9846,4.9038,94.88
LightGBM,705089,12,1.0087,1.2463,6.4853,89.95
LightGBM,705089,24,1.0714,1.2856,6.8619,89.36
LightGBM,705089,48,1.0669,1.2797,6.8388,89.9
LightGBM,705089,72,1.0382,1.2613,6.6814,89.76
LightGBM,705090,1,0.4797,0.6503,1.6544,98.91
LightGBM,705090,2,0.8594,1.1286,2.928,91.17
LightGBM,705090,3,1.1118,1.4366,3.7706,84.06
LightGBM,705090,4,1.3141,1.676,4.4278,77.85
LightGBM,705090,12,2.1752,2.6251,7.2244,49.46
LightGBM,705090,24,2.7021,3.1644,8.9179,38.86
LightGBM,705090,48,3.1472,3.672,10.3366,35.1
LightGBM,705090,72,3.1325,3.6473,10.2916,33.15
LightGBM,705091,1,0.2564,0.4162,1.4015,99.82
LightGBM,705091,2,0.4899,0.6857,2.6623,98.51
LightGBM,705091,3,0.5969,0.8156,3.2408,97.28
LightGBM,705091,4,0.6702,0.891,3.6266,95.97
LightGBM,705091,12,0.8779,1.072,4.7019,94.84
LightGBM,705091,24,0.8922,1.0901,4.7743,94.79
LightGBM,705091,48,0.9012,1.0953,4.8214,94.93
LightGBM,705091,72,0.9293,1.1265,4.9769,94.79
LightGBM,705092,1,0.2341,0.402,2.252,99.86
LightGBM,705092,2,0.4612,0.6777,4.3939,98.19
LightGBM,705092,3,0.5944,0.8139,5.6394,97.01
LightGBM,705092,4,0.667,0.8839,6.3203,96.92
LightGBM,705092,12,0.8907,1.0655,8.2498,95.02
LightGBM,705092,24,0.9221,1.093,8.4954,94.02
LightGBM,705092,48,0.9498,1.1087,8.7241,94.84
LightGBM,705092,72,0.9617,1.12,8.8528,94.75
LightGBM,21334825,1,0.1951,0.3598,1.7128,99.91
LightGBM,21334825,2,0.3975,0.5924,3.4482,99.28
LightGBM,21334825,3,0.4981,0.7106,4.313,98.28
LightGBM,21334825,4,0.5806,0.781,5.0121,98.19
LightGBM,21334825,12,0.7554,0.9264,6.4678,96.88
LightGBM,21334825,24,0.7873,0.9635,6.7522,97.28
LightGBM,21334825,48,0.791,0.958,6.7396,97.33
LightGBM,21334825,72,0.7867,0.9528,6.6988,97.42
LightGBM,21336305,1,0.1711,0.3267,1.461,100.0
LightGBM,21336305,2,0.3766,0.5489,3.1798,99.59
LightGBM,21336305,3,0.472,0.6521,3.9708,98.82
LightGBM,21336305,4,0.5393,0.7108,4.5228,98.64
LightGBM,21336305,12,0.6868,0.8267,5.7311,97.96
LightGBM,21336305,24,0.7263,0.8602,6.0463,97.78
LightGBM,21336305,48,0.7273,0.8677,6.0581,97.64
LightGBM,21336305,72,0.7122,0.8566,5.929,98.01
LightGBM,97635816,1,0.162,0.311,1.7066,99.91
LightGBM,97635816,2,0.3288,0.5097,3.3989,99.41
LightGBM,97635816,3,0.4212,0.6142,4.3348,99.37
LightGBM,97635816,4,0.4751,0.6675,4.8796,99.0
LightGBM,97635816,12,0.642,0.8116,6.5283,98.01
LightGBM,97635816,24,0.6632,0.8212,6.7453,97.74
LightGBM,97635816,48,0.6632,0.8296,6.7568,97.96
LightGBM,97635816,72,0.6784,0.8395,6.9084,97.24
LightGBM,1775257343,1,0.3218,0.4892,1.8227,99.46
LightGBM,1775257343,2,0.5967,0.7992,3.344,97.46
LightGBM,1775257343,3,0.7115,0.9317,3.9641,95.2
LightGBM,1775257343,4,0.7954,1.0245,4.424,93.7
LightGBM,1775257343,12,1.0244,1.2476,5.617,90.94
LightGBM,1775257343,24,1.0894,1.2954,5.9359,90.62
LightGBM,1775257343,48,1.2105,1.4186,6.5329,85.73
LightGBM,1775257343,72,1.2802,1.4951,6.9073,81.3
LightGBM,4452986337,1,0.2805,0.4676,2.3644,99.5
LightGBM,4452986337,2,0.5239,0.761,4.355,97.6
LightGBM,4452986337,3,0.6537,0.8991,5.4141,95.88
LightGBM,4452986337,4,0.7337,0.9884,6.0674,94.34
LightGBM,4452986337,12,0.9862,1.1905,8.0158,91.94
LightGBM,4452986337,24,1.0101,1.204,8.1845,92.39
LightGBM,4452986337,48,1.0458,1.2584,8.4481,90.04
LightGBM,4452986337,72,1.0638,1.2583,8.5946,92.66
Prophet,705089,1,1.0428,1.3236,6.759,87.73
Prophet,705089,2,1.044,1.3255,6.7681,87.68
Prophet,705089,3,1.0455,1.3278,6.7803,87.64
Prophet,705089,4,1.0462,1.3284,6.7847,87.64
Prophet,705089,12,1.0429,1.3263,6.7624,87.64
Prophet,705089,24,1.044,1.3272,6.7719,87.64
Prophet,705089,48,1.0404,1.325,6.7572,87.64
Prophet,705089,72,1.0389,1.3242,6.7508,87.64
Prophet,705090,1,6.8139,7.489,22.5384,10.78
Prophet,705090,2,6.8172,7.4921,22.5487,10.78
Prophet,705090,3,6.8206,7.4951,22.5591,10.78
Prophet,705090,4,6.8245,7.4987,22.5704,10.78
Prophet,705090,12,6.8534,7.5236,22.6573,10.69
Prophet,705090,24,6.8855,7.5561,22.7621,10.69
Prophet,705090,48,6.968,7.6209,23.0314,10.1
Prophet,705090,72,7.0435,7.6691,23.2905,9.15
Prophet,705091,1,1.207,1.461,6.3433,83.7
Prophet,705091,2,1.2073,1.4611,6.3446,83.7
Prophet,705091,3,1.2075,1.4611,6.3459,83.7
Prophet,705091,4,1.2073,1.461,6.3448,83.7
Prophet,705091,12,1.2095,1.463,6.3545,83.65
Prophet,705091,24,1.2136,1.4668,6.3781,83.51
Prophet,705091,48,1.227,1.4777,6.4444,83.29
Prophet,705091,72,1.236,1.4848,6.4932,83.06
Prophet,705092,1,1.56,1.7881,13.7491,68.43
Prophet,705092,2,1.5609,1.7888,13.7565,68.39
Prophet,705092,3,1.5618,1.7895,13.7639,68.34
Prophet,705092,4,1.5627,1.7901,13.7712,68.3
Prophet,705092,12,1.5694,1.7949,13.8266,67.98
Prophet,705092,24,1.5799,1.8051,13.9152,67.53
Prophet,705092,48,1.5913,1.8149,14.0206,66.94
Prophet,705092,72,1.6058,1.8276,14.1492,66.17
Prophet,21334825,1,0.7939,0.9782,6.7565,96.83
Prophet,21334825,2,0.794,0.9782,6.7573,96.83
Prophet,21334825,3,0.7941,0.9783,6.7582,96.83
